"participant_id","consent_age","consent_read","consent_participation","treatment_ver","num_unique_pword","manage_pword","imagine_create_pword","how_create_strong_pword","why_this_pword_tre1","why_this_pword_tre2","why_this_pword_tre3","secure_pword_rating","mem_actions_taken","how_likely_remem_1week","how_likely_to_use","demo_gender","demo_age","demo_education","demo_background","store_write_down","reset_every_time","physical_note","save_as_file","save_in_browser","third_party_manager","system_provide_manager","none_of_the_above","other_value","email_accounts","bank_accounts","work_accounts","retail_website_accounts","social_media_accounts","none_of_the_above","other_value","tot_new_pword_cnt","start_attempt_cnt","start_new_pword_cnt","start_new_pword_cnt","start_tre2_word1_cnt","start_tre2_word2_cnt","start_tre2_word3_cnt","start_tre2_word4_cnt","start_tre2_word5_cnt","start_show_pword","mid_attempt_cnt","mid_new_pword_cnt","mid_tre2_word1_cnt","mid_tre2_word2_cnt","mid_tre2_word3_cnt","mid_tre2_word4_cnt","mid_tre2_word5_cnt","mid_show_pword","end_attempt_cnt","end_show_pword"
"50","1","1","1","treatment1","2-3","I save them either on the websites or on the notes app on my phone. If they are really important, I write them down as well.","I would make it unique, but have it still remain professional.","I used very personal things to me that I do not believe others would ever guess.","Something about it stood out to me and seemed like it was better and easier for me to memorize than the other passwords given.",,,"Somewhat less secure","I looked at it a lot and wrote it down.","Somewhat likely","Somewhat unlikely","Woman","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.","0","0","1","1","1","0","0","0",NULL,"0","0","0","1","1","0",NULL,"11","1","11","11","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","1"
"53","1","1","1","treatment3","2-3","Foe security purpose i am using this password.It's so uniqe.","I am creating my won way like, company name.my name.bithday year .place name etc.","Using my secret formula or information.",,,"It's not a complete sentence.Just using word for create uniqe password.","Much more secure","It arrange the whole sentence different way.","Very likely","Somewhat likely","Man","45 - 54","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT.","1","0","0","0","0","0","0","0",NULL,"0","1","1","0","0","0",NULL,"2","1","2","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0"
"55","1","1","1","treatment3","2-3","MY EMAILS HAVE THE SAME PASSWORD BUT MY SOCIAL MEDIA ACCOUNTS ARE VERY DIFFERENT","I AM MOST LIKELY GOING TO USE A PASSWORD SIMILAR TO MY EMAIL","I MATCHED MY DADS NAME WITH MY GIRLFRIEND",,,"there are things i have been thinking about ","Somewhat more secure","i used acronyms","Neutral","Somewhat unlikely","Man","25 - 34","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT.","0","0","1","1","0","0","0","0",NULL,"0","0","1","0","0","0",NULL,"3","1","1","1","0","0","0","0","0","1","2","2","0","0","0","0","0","1","1","1"
"57","1","1","1","treatment2","more than 10","By memory","Use a combination of words, uppercase & lowercase letters, symbols, and numbers","With the above method",,"Easy to remember",,"About equally secure","Create a sentence","Neutral","Neutral","Prefer not to disclose","Prefer not to disclose","Prefer not to disclose","Prefer not to disclose","0","0","0","0","0","0","0","1",NULL,"0","0","1","0","0","0",NULL,"1","1","1","1","7","7","2","26","143","1","1","0","0","0","0","0","0","1","1","1"
"60","1","1","1","treatment2","4-6","memory","I would use a combination of 1) a set number pattern and 2) something related with the organization.","I used a combination of symbols that act as letters, a phrase and a set number combination ",,"to remember the next word, and to also ensure i was typing it in correctly",,"Somewhat less secure","saying it out loud and breaking it up into groups of words rather than individually to try to make a cohesive thought out of the random words","Very unlikely","Neutral","Man","18 - 24","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT.","0","0","0","1","1","0","1","0",NULL,"1","0","1","1","1","0",NULL,"1","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1"
"61","1","1","1","treatment1","4-6","My computer saves most of my passwords, but I generally have a couple that I use for many things.","I would use one of the passwords I already use.","I use the first letter of each word in a phrase that I know.","They were short words and I related them together.",,,"Somewhat more secure","I remembered the first letter of the word and it helped me recall the word.","Somewhat unlikely","Somewhat likely","Woman","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.","1","0","0","1","1","0","1","0",NULL,"0","0","0","1","1","0",NULL,"2","1","2","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1"
"62","1","1","1","treatment2","2-3","I keep them in my notes, my head, or they save onto my computer.","I would use words that are significant to me and easy to remember","I used random words rather than familiar words and memorized it.",,"I wanted to make a password that almost resembled a sentence ",,"Much more secure","The password told a mini story so it was easy to remember","Somewhat likely","Neutral","Woman","18 - 24","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.","1","0","1","0","1","0","0","0",NULL,"0","0","0","1","1","0",NULL,"1","1","1","1","5","1","24","5","39","0","1","0","0","0","0","0","0","1","1","1"
"63","1","1","1","treatment1","4-6","I change the symbol for different accounts but the words and numbers remain the same.","i will use the day i joined plus my favorite symbol","a combination of what i love and what i hate with a unique symbol","short and easy to remember",,,"Much more secure","no particular method. i just try to remember them that way. just crammed them.","Very likely","Somewhat likely","Man","25 - 34","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT.","1","0","0","0","1","0","0","0",NULL,"1","1","0","0","1","0",NULL,"9","1","9","9","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0"
"64","1","1","1","treatment1","4-6","I always try to make my password are same.","First 3or 4 letter of my company name and 2 or 3 number and 3 letters of my name.","First 3 letter of my name, my zip-code and last 3 letter of may last name.","This password is very easy and i remember this password. ",,,"Much more secure","I always used my password.","Very likely","Very likely","Man","35 - 44","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT.","1","0","0","0","0","0","0","0",NULL,"1","0","1","0","0","0",NULL,"1","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0"
"65","1","1","1","treatment2","more than 10","I use a password manager, 1Password.","Use my password manager to generate a randomized password.","My password manager generated one.",,"I like the words, easy to remember.",,"About equally secure","I recorded it.","Somewhat unlikely","Neutral","Woman","25 - 34","Some college","I have an education in, or work in, the field of computer science, computer engineering or IT.","0","0","0","0","0","1","0","0",NULL,"0","0","0","1","1","0",NULL,"1","1","1","1","3","2","11","1","11","0","1","0","0","0","0","0","0","0","1","1"
"66","1","1","1","treatment2","4-6","I have to memorize my passwords myself or save them in my browser","I would use the same passwords I use in my other accounts","I added capital letters, numbers, and special characters",,"I only switched the first one to make it shorter",,"Somewhat less secure","I wrote it down","Very unlikely","Very unlikely","Woman","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.","1","0","0","1","1","0","0","0",NULL,"1","0","0","0","1","0",NULL,"1","1","1","1","5","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1"
"68","1","1","1","treatment3","2-3","Using some uniqe techniqe.","I am create a new password using some common word what i can remember but it's unique.","I will arange a whole sentance but different way.",,,"It's so uniqe. Generally people cann't understand this logic.","Much more secure","It's a whole sentence.","Very likely","Somewhat likely","Man","45 - 54","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT.","1","0","0","0","0","0","0","0",NULL,"0","1","1","0","1","0",NULL,"1","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0"
"69","1","1","1","treatment1","2-3","I reuse the same 3 passwords. I choose randomly which one I will use each time. I keep them logged in a file","I would use something related to my job","It is a combination of 2 random words and a number and !","It seemed easiest for me to remember",,,"Much more secure","I made it into a sing song type verse","Somewhat likely","Neutral","Woman","18 - 24","Associate's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.","0","0","0","1","0","0","0","0",NULL,"1","1","0","0","0","0",NULL,"3","2","3","3","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1"
"71","1","1","1","treatment2","4-6","Use google passwords.","create it according to their standards, use something familiar to my other passwords","define strongest password? I used symbols numbers and case differences",,"kinda randomly, but once it made a story of some sort i stopped",,"About equally secure","i created a story in my head","Somewhat likely","Neutral","Man","18 - 24","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT.","0","0","0","0","1","0","0","0",NULL,"1","1","1","1","1","0",NULL,"1","1","1","1","9","3","4","2","1","1","2","0","0","0","0","0","0","1","1","1"
"75","1","1","1","treatment1","2-3","I just use my memory.","I would use a phrase with numbers, characters and alternating upper and lowercase letters","I used a phrase with numbers, characters and alternating upper and lowercase letters.","They were easy and common words for me to remember.",,,"About equally secure","Just repeated it several times and grouped the first four words in pairs.","Somewhat likely","Very likely","Woman","25 - 34","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.","1","0","0","0","0","0","0","0",NULL,"0","0","0","1","1","0",NULL,"7","1","7","7","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1"
"76","1","1","1","treatment1","more than 10","locked in a safe","Depends greatly on the requirements for special characters numbers and letter case.  Usually I try to make something that I can easily remember, affiliated with that site and not obvious.","I used the auto generate function on my phone.","easy words with no cross affiliation",,,"About equally secure","nemonics.","Very likely","Very unlikely","Woman","45 - 54","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.","1","0","1","0","0","0","0","0",NULL,"0","0","0","0","0","1",NULL,"6","1","6","6","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1"
"77","1","1","1","treatment3","1",,"protect your email file and other content. prevent someone else from getting the information","i took alpabets numbers and symbols",,,"easy to remember","Much less secure","easy words","Very likely","Very likely","Man","45 - 54","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT.","1","0","0","1","1","0","0","0",NULL,"1","0","0","0","0","0",NULL,"1","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0"
"80","1","1","1","treatment2","2-3","I have a complicated password with made-up names, numbers, and characters for high-security accounts.
Weaker passwords for less-important applications/sites/etc.","I would do a variation of a current password that meets their requirements.","humor, a fake name, and some numbers that are important to me.",,"i tried to generate a memorable humorous phrase",,"Somewhat less secure","repeating it in my head a few times, phrasing chunks of it","Very unlikely","Somewhat likely","Man","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.","1","0","0","0","1","0","0","0",NULL,"0","0","1","0","0","0",NULL,"1","1","1","1","3","2","2","1","3","1","1","0","0","0","0","0","0","1","1","1"
"83","1","1","1","treatment1","2-3","I group certain passwords with certain accounts based on their functions","I would use lots of numbers, capital letters, and endings like .com, .org, .net, etc","I created this password by using random generators and capitalizing","I liked the word combination",,,"Much more secure","Repetition and the general idea of all of the words in my mind","Somewhat unlikely","Somewhat likely","Non-binary","18 - 24","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.","1","0","0","1","1","1","1","0",NULL,"1","0","1","0","1","0",NULL,"58","1","58","58","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0"
"84","1","1","1","treatment2","2-3","mostly the same password across all accounts using symbols, capitals, and numbers","use the same password i use for everything","it included things i can easily remember by adding on numbers and symbols",,"i accidentally clicked this is what i wanted my password to be i did not get to change any of the words",,"Much more secure","kept repeating it in my head","Somewhat unlikely","Very unlikely","Woman","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.","0","0","0","1","0","0","0","0",NULL,"1","1","1","1","1","0",NULL,"1","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1"
"85","1","1","1","treatment1","2-3","i use the same password in different account","i would create a alphanumerical password for it","i would use letter,digit and symbol  to make it stronger","i feel secure about the password. it seems stronger to me.",,,"Much more secure","i make notes of it","Very likely","Very likely","Man","35 - 44","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.","0","0","1","0","1","0","0","0",NULL,"1","0","0","0","1","0",NULL,"8","1","8","8","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0"
"87","1","1","1","treatment3","2-3","i mostly use the same password","i will use the name of the company and the CEO","i created the password with my favorite quote",,,"i choose the password because its my favourite","Much more secure","its my favorite quote
","Very likely","Very likely","Man","25 - 34","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT.","1","0","0","0","0","0","0","0",NULL,"1","1","1","0","1","0",NULL,"1","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1"
"92","1","1","1","treatment2","2-3","Most of my passwords are the same. There are a couple of different passwords for different sites, different sites because some sites may be sketchier than other sites. Like a government log in has a different password than facebook. ","I would probably use a password that I know well and already use.","I chose pet names which i thought would be the most descrete.",,"The words I stopped on made me think of money and class so I went with that.",,"Somewhat more secure","The words included things around wealth and issues around wealth.","Somewhat unlikely","Somewhat unlikely","Woman","18 - 24","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.","1","0","0","1","1","0","1","0",NULL,"0","0","0","1","1","0",NULL,"1","1","1","1","2","15","9","12","19","1","1","0","0","0","0","0","0","1","1","1"
"93","1","1","1","treatment3","4-6","memorize","something i can remember","pet names",,,"something computer would accept","Much more secure","write down
repeat","Somewhat likely","Somewhat likely","Woman","35 - 44","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.","1","0","0","0","0","0","0","0",NULL,"1","1","0","0","1","0",NULL,"1","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1"
"94","1","1","1","treatment2","more than 10","I use a password manager to manage my various different passwords across different online accounts.","I would use a strong password generator to create a password for this account.","My strongest password has been created by a strong password generator.",,"these words are very easy to remember with the mnemonic device that I made.",,"Much less secure","I use a mnemonic device to memorize the generated five-word password","Very unlikely","Very unlikely","Man","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.","0","0","0","1","1","1","0","0",NULL,"0","0","0","1","0","0",NULL,"1","1","1","1","3","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0"
"95","1","1","1","treatment2","more than 10","I manage my passwords with my google account. I keep all my passwords saved and used through google's autofill usually in chrome.","I would create a password that was required to be used for the company or organization's standards to make one.","I created the password using multiple symbols, letters, and punctuation that it would allow, typically around 8 characters or more.",,"I stopped on each word to try and remember. I also stopped because of a typo I made to correct the password.",,"About equally secure","The methods I used was to copy the password somewhere on my computer to read and memorize the password.","Very likely","Very unlikely","Man","25 - 34","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.","0","0","0","0","1","0","0","0",NULL,"1","1","1","1","1","0",NULL,"1","1","1","1","39","17","8","28","16","1","1","0","0","0","0","0","0","1","1","1"
"96","1","1","1","treatment1","2-3","I have 3 main passwords that are variations on each other. A word, followed by numbers and then a symbol. I keep the numbers the same but sometimes change the symbol if only some symbols are allowed. I change the word usually for my 2 main email accounts so that if one is hacked the other doesn't have the same pass. I use Chrome sometimes, but primarily Firefox, and some of my passwords are saved on there for convenience of logging in instead of having to type, but mostly I just remember my 3 main passwords in my head anyways and try to avoid saving passwords when the browser asks. If I get the wrong one then I only have to try a couple of variations to get it right. ","For a company I would probably let the browser autogenerate a password (string of letters/numbers) or use a new variation on my usual password. I would feel uncomfortable using my usual password there in case the IT people need to use it to fix something and then had access to a pass that they could guess was the same as my main email or something. ","The strongest passwords I have were autogenerated by the browser.","Battle, ban, boom are all B words easy to remember, and all words were one syllable which was easy to remember.",,,"Much less secure","I spoke it outloud a few times and it has a certain rhythm to it.","Somewhat likely","Very unlikely","Non-binary","25 - 34","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.","1","0","0","0","1","0","0","0",NULL,"0","0","0","0","0","1",NULL,"15","1","14","14","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","1"
"97","1","1","1","treatment3","more than 10","I set up a unique password for each of my different online accounts. I then use a third-party password saver app to keep my different passwords, as well as have the passwords saved with each of my different browsers.","I would use a password generator, and specify that it should be at least 8 characters in length, and it has to utilize special characters, uppercase and lowercase letters, and not contain any known words.","I used a password generator, and specified it to be of a certain length and with special characters, and uppercase and lower case letters.",,,"Its something I can remember in my head, I don't have to write it down or store it digitally. Its also easy to write, without having to check if I wrote it incorrectly.","Much less secure","I say the password in my head several times. I say the password using a specific rhythm or beat, sort of like a slogan or a catchy saying. ","Somewhat likely","Very unlikely","Non-binary","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.","0","0","0","0","1","1","0","0",NULL,"0","0","0","0","1","0",NULL,"1","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0"
"98","1","1","1","treatment1","2-3","My passwords are a variation of 1 singular password.","I would use one of my go to passwords. ","I added a lot of non letter symbols and numbers and try to vary the case of the letters.","It felt more like a sentence, which I find easier to remember than just five random words. ",,,"Somewhat less secure","I just repeated the words as much as I could in my head.","Very unlikely","Very unlikely","Woman","18 - 24","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT.","1","0","0","0","1","0","1","0",NULL,"0","0","0","1","0","0",NULL,"21","1","10","10","0","0","0","0","0","1","5","11","0","0","0","0","0","1","3","1"
"99","1","1","1","treatment1","2-3","i use just 2 different passwords","I would simply use the one i have been making use of for other accounts","It's the same password i have used for my most important documents or accounts","It's quite easy to remember",,,"Much more secure","I simply read it in my head","Very likely","Somewhat likely","Man","25 - 34","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT.","1","0","0","0","0","0","0","0",NULL,"1","1","1","1","1","0",NULL,"1","1","1","1","0","0","0","0","0","1","2","0","0","0","0","0","0","1","2","1"
"100","1","1","1","treatment3","4-6","I save them in my passwords in my iPhone settings","I would have more than 8 characters including two capital letters with a special character.","I used a dog's name and then numbers and special characters.",,,"I tried to stick to a theme so that I could remember the password.","Somewhat less secure","Just tried to stick within the same theme.","Somewhat likely","Very unlikely","Woman","18 - 24","Some college","I have an education in, or work in, the field of computer science, computer engineering or IT.","1","0","0","0","1","0","1","0",NULL,"0","0","0","1","0","0",NULL,"1","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1"
"101","1","1","1","treatment1","2-3","Mostly I try to memorize them, some I use a password manager","I would try to create a password that incorporates at least one symbol, a capital letter, number, and is lengthy.","I try to create passwords with things that will be easier for me to memorize but that will be hard for people except for the closest to me to guess.","I felt it might be easier for me to memorize the first then to try and memorize something after looking at several; I also didn't want to get too stuck on getting the ""perfect"" one as I can get stuck in loops easily.",,,"About equally secure","I repeated it to myself in my head once or twice, then I just memorized it. I really didn't have to try hard.","Somewhat unlikely","Somewhat unlikely","Non-binary","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.","1","0","0","0","1","0","0","0",NULL,"1","1","1","1","1","0",NULL,"1","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","2","1"
"102","1","1","1","treatment3","more than 10","I mainly store my passwords on a notepad, or memorize them depending on how often I use the site.","I would most likely use a scramble of letters and numbers and save the password somewhere secure.","I simply typed a random combination of numbers and letters.",,,"I picked whatever words that came to my mind","About equally secure","I've only memorized the password by restating it in my mind multiple times.","Somewhat unlikely","Very unlikely","Man","18 - 24","Some college","I have an education in, or work in, the field of computer science, computer engineering or IT.","1","0","0","1","0","0","0","0",NULL,"0","0","0","0","0","1",NULL,"2","1","1","1","0","0","0","0","0","0","4","1","0","0","0","0","0","1","1","1"
"103","1","1","1","treatment3","2-3","I use the same 2 passwords for everything so I can remember them I have no system to which I use for different accounts","I'd use 1 of the 2 I always use","I thought of something I can easily remember
",,,"I was thinking of my dog and cat when creating it","Much more secure","idk I can just easily remember random phrases","Very unlikely","Very unlikely","Woman","18 - 24","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.","1","0","0","0","0","0","1","0",NULL,"1","1","1","1","1","0",NULL,"1","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1"
"104","1","1","1","treatment1","more than 10","Password manager, personal memory","common phrase with subbed symbols and a number of personal meaning but pressing the shift button so they're all symbols","my age at the time, short phase with subbed symbols, a number with personal significance typed while holding the shift key so it comes out as symbols","the second word was second and the third word was third.",,,"Somewhat less secure","second word was second. third word was third. for escape, the song by enrique iglesias and for golden the song golden hour by kacey musgraves.","Neutral","Somewhat likely","Woman","18 - 24","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.","1","0","0","0","1","0","0","0",NULL,"1","0","0","1","1","0",NULL,"3","1","3","3","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0"
"105","1","1","1","treatment1","2-3","I use to use one password across many. Overtime when I have had to change or update them i used something else. In the past year I am trying to move everything to a new password. I want them all to be the same so it is easy to login. Im not sure that is the safest thing though. I also save them on my phone to help me remember them.","I would use a password that is associated with work. I want it to be separate from my personal accounts.","I picked the most random thing but also something that is important to me but people may not know. I them added the symbols and numbers required based on the ones i like.","It had words I thought i would remember because I can relate to them.",,,"Much more secure","I try and make associations with the words.","Somewhat likely","Somewhat likely","Woman","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.","0","0","0","0","1","0","0","0",NULL,"1","1","1","1","1","0",NULL,"12","1","12","12","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1"
