"id","demo_gender","demo_age","demo_education","demo_background"
"63","Woman","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"65","Man","45 - 54","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"66","Woman","18 - 24","Associate's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"68","Man","18 - 24","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"72","Woman","25 - 34","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"73","Woman","45 - 54","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"74","Man","45 - 54","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"77","Man","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"80","Non-binary","18 - 24","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"81","Woman","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"82","Man","35 - 44","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"84","Man","25 - 34","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"89","Woman","18 - 24","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"90","Woman","35 - 44","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"91","Man","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"92","Man","25 - 34","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"93","Non-binary","25 - 34","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"94","Non-binary","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"95","Woman","18 - 24","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"96","Man","25 - 34","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"97","Woman","18 - 24","Some college","I have an education in, or work in, the field of computer science, computer engineering or IT."
"98","Non-binary","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"99","Man","18 - 24","Some college","I have an education in, or work in, the field of computer science, computer engineering or IT."
"100","Woman","18 - 24","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"101","Woman","18 - 24","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"102","Woman","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"103","Man","45 - 54","Doctorate","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"104","Woman","18 - 24","Some high school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"105","Woman","35 - 44","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"106","Man","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"108","Woman","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"109","Man","25 - 34","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"110","Woman","45 - 54","High school","I have an education in, or work in, the field of computer science, computer engineering or IT."
"111","Non-binary","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"112","Woman","25 - 34","Trade, technical, or vocational training","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"113","Man","25 - 34","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"114","Man","25 - 34","Some college","Prefer not to disclose"
"115","Man","35 - 44","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"116","Man","25 - 34","Associate's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"117","Man","45 - 54","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"118","Woman","18 - 24","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"119","Man","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"120","Woman","18 - 24","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"121","Woman","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"122","Woman","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"123","Woman","18 - 24","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"125","Woman","18 - 24","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"126","Man","35 - 44","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"127","Woman","25 - 34","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"128","Man","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"129","Woman","45 - 54","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"130","Man","18 - 24","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"131","Woman","25 - 34","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"133","Woman","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"134","Woman","35 - 44","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"135","Woman","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"138","Man","45 - 54","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"139","Woman","25 - 34","High school","I have an education in, or work in, the field of computer science, computer engineering or IT."
"140","Woman","18 - 24","Some college","I have an education in, or work in, the field of computer science, computer engineering or IT."
"141","Man","45 - 54","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"142","Woman","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"143","Woman","35 - 44","Associate's Degree","Prefer not to disclose"
"144","Woman","18 - 24","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"145","Woman","18 - 24","Associate's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"146","Woman","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"148","Man","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"149","Woman","18 - 24","Some college","I have an education in, or work in, the field of computer science, computer engineering or IT."
"150","Man","18 - 24","Some college","I have an education in, or work in, the field of computer science, computer engineering or IT."
"151","Woman","25 - 34","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"152","Man","35 - 44","Doctorate","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"155","Man","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"156","Woman","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"157","Woman","25 - 34","Doctorate","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"158","Man","18 - 24","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"160","Woman","45 - 54","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"161","Woman","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"162","Man","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"164","Woman","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"165","Man","25 - 34","Doctorate","I have an education in, or work in, the field of computer science, computer engineering or IT."
"166","Man","35 - 44","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"167","Woman","18 - 24","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"168","Woman","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"169","Woman","45 - 54","Associate's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"170","Woman","25 - 34","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"171","Man","55 - 64","Bachelor's Degree","Prefer not to disclose"
"172","Woman","25 - 34","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"174","Woman","18 - 24","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"175","Man","45 - 54","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"176","Man","25 - 34","Some college","I have an education in, or work in, the field of computer science, computer engineering or IT."
"177","Man","35 - 44","Master's Degree","Prefer not to disclose"
"178","Man","35 - 44","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"179","Man","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"183","Woman","25 - 34","Associate's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"184","Man","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"185","Man","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"186","Man","35 - 44","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"187","Woman","45 - 54","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"188","Man","55 - 64","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"189","Man","35 - 44","Doctorate","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"190","Man","35 - 44","Doctorate","I have an education in, or work in, the field of computer science, computer engineering or IT."
"191","Man","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"192","Woman","35 - 44","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"193","Woman","35 - 44","Trade, technical, or vocational training","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"194","Man","25 - 34","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"196","Man","45 - 54","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"197","Man","55 - 64","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"198","Woman","45 - 54","Associate's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"199","Woman","25 - 34","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"200","Man","45 - 54","Trade, technical, or vocational training","I have an education in, or work in, the field of computer science, computer engineering or IT."
"201","Woman","25 - 34","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"202","Woman","25 - 34","Some college","I have an education in, or work in, the field of computer science, computer engineering or IT."
"203","Man","45 - 54","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"204","Woman","25 - 34","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"205","Woman","25 - 34","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"206","Man","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"207","Man","25 - 34","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"209","Man","25 - 34","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"210","Woman","18 - 24","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"211","Man","25 - 34","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"212","Man","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"213","Woman","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"214","Man","35 - 44","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"215","Woman","25 - 34","Some college","I have an education in, or work in, the field of computer science, computer engineering or IT."
"216","Man","45 - 54","Trade, technical, or vocational training","I have an education in, or work in, the field of computer science, computer engineering or IT."
"217","Woman","35 - 44","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"218","Woman","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"220","Woman","35 - 44","Bachelor's Degree","Prefer not to disclose"
"221","Man","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"222","Man","25 - 34","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"223","Man","35 - 44","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
